node	nodo
repeater	ripetitore
region	regione
channel	canale
contact	contatto
advert	annuncio
direct message	messaggio diretto
firmware	firmware
flood	flood
path	percorso
hop	hop
mesh	mesh
pairing	abbinamento
identity	identità
sync	sincronizzazione
